variant,roi_index,roi_name,n,accuracy,balanced_accuracy,f1_class1,auroc,auprc,brier_score,mean_true_confidence,tn,fp,fn,tp,roi_pixels
shift_right_1,4,nasal_midface,1171,0.5525192143467123,0.5573178016726403,0.5270758122743683,0.5612724014336918,0.47799911404105505,0.29288163093714353,0.5127378702163696,355,320,204,292,56
shift_right_1,5,left_cheek_zygomatic,1171,0.5832621690862511,0.5895982676224611,0.561938958707361,0.6334229390681004,0.5853115168298278,0.28322196088939894,0.5672914385795593,370,305,183,313,126
shift_right_1,6,right_cheek_zygomatic,1171,0.6601195559350982,0.6378195937873357,0.5507900677200903,0.6930854241338112,0.6020295573863562,0.23180822926979688,0.6116313338279724,529,146,252,244,117
shift_right_1,7,perioral_mouth,1171,0.5499573014517506,0.5534916367980884,0.5204731574158326,0.5713679808841099,0.5042137779812706,0.28777175236086194,0.5159853100776672,358,317,210,286,64
shift_right_1,8,chin_mandible,1171,0.5986336464560205,0.5761992234169653,0.47544642857142855,0.6132735961768219,0.5421361732229781,0.2731695961570592,0.5686832666397095,488,187,283,213,80
shift_up_left_1,1,upper_brow_forehead,1171,0.5730145175064048,0.5764321983273596,0.5429616087751371,0.623273596176822,0.5834640594094606,0.27009974157045147,0.5543615221977234,374,301,199,297,168
shift_up_left_1,2,left_periocular,1171,0.6362083689154568,0.6331182795698924,0.5880077369439072,0.6780704898446833,0.5928057736237701,0.22952512394982788,0.5679748058319092,441,234,192,304,91
shift_up_left_1,3,right_periocular,1171,0.5832621690862511,0.6144593787335724,0.6246153846153847,0.6804569892473118,0.6191701247835436,0.25934753705891905,0.5489020347595215,277,398,90,406,98
shift_up_left_1,4,nasal_midface,1171,0.5610589239965841,0.5596460573476703,0.5150943396226414,0.5819265232974911,0.5048154120014158,0.2611977615030523,0.5234809517860413,384,291,223,273,56
shift_up_left_1,5,left_cheek_zygomatic,1171,0.5994876174210076,0.5905734767025089,0.5295887662988966,0.6247491039426523,0.5849732129489615,0.26299059261936364,0.5696595907211304,438,237,232,264,117
shift_up_left_1,6,right_cheek_zygomatic,1171,0.667805294619983,0.6538425925925926,0.5892291446673708,0.7189814814814814,0.6466570454577429,0.21818091547966786,0.6181049346923828,503,172,217,279,126
shift_up_left_1,7,perioral_mouth,1171,0.5721605465414176,0.5762261051373954,0.5441310282074613,0.5912634408602151,0.5189450978709,0.2795977653382947,0.5205515623092651,371,304,197,299,64
shift_up_left_1,8,chin_mandible,1171,0.6216908625106746,0.6071594982078853,0.534174553101998,0.6466816009557945,0.595848630499914,0.2550437927880799,0.5861899256706238,474,201,242,254,80
shift_up_right_1,1,upper_brow_forehead,1171,0.5900939368061486,0.6072864396654719,0.5979899497487438,0.6759946236559139,0.6181331614103364,0.26123053770494725,0.568746030330658,334,341,139,357,168
shift_up_right_1,2,left_periocular,1171,0.6131511528608027,0.606167861409797,0.5510406342913775,0.6494832735961769,0.5548893610576314,0.24129791051261773,0.5573433637619019,440,235,218,278,98
shift_up_right_1,3,right_periocular,1171,0.5849701110162254,0.6146042413381123,0.6226708074534162,0.675462962962963,0.6074056610561053,0.2593828061009809,0.5467180013656616,284,391,95,401,91
shift_up_right_1,4,nasal_midface,1171,0.5550811272416738,0.5635498805256869,0.5409691629955946,0.5645280764635603,0.47655952224000214,0.2844471118256761,0.5141078233718872,343,332,189,307,56
shift_up_right_1,5,left_cheek_zygomatic,1171,0.605465414175918,0.6088575268817205,0.5753676470588235,0.6441039426523296,0.5948040577922666,0.26700782204563894,0.5743391513824463,396,279,183,313,126
shift_up_right_1,6,right_cheek_zygomatic,1171,0.6567036720751495,0.6388664874551971,0.5630434782608695,0.6990531660692951,0.6122665777526679,0.23252347730457137,0.6161912679672241,510,165,237,259,117
shift_up_right_1,7,perioral_mouth,1171,0.5627668659265584,0.5827807646356034,0.580327868852459,0.6057138590203107,0.5251593772646379,0.2778591622294967,0.5159507393836975,305,370,142,354,64
shift_up_right_1,8,chin_mandible,1171,0.6122971818958155,0.5896550179211469,0.4910313901345291,0.6300059737156511,0.5672648940546758,0.2566515851294409,0.5751667022705078,498,177,277,219,80
shift_down_left_1,1,upper_brow_forehead,1171,0.5926558497011102,0.6044295101553165,0.5862966175195143,0.6383870967741936,0.581171087865853,0.28766416118007654,0.5532979369163513,356,319,158,338,192
shift_down_left_1,2,left_periocular,1171,0.5508112724167379,0.5571729390681004,0.5303571428571429,0.5694295101553166,0.4575132330543515,0.2779038971117077,0.5322549939155579,348,327,199,297,91
shift_down_left_1,3,right_periocular,1171,0.547395388556789,0.5862888291517323,0.6114369501466276,0.6808034647550778,0.6321166710907673,0.2683678459109338,0.5370030403137207,224,451,79,417,98
shift_down_left_1,4,nasal_midface,1171,0.5439795046968403,0.5434946236559139,0.5009345794392523,0.5814695340501792,0.5200936538664924,0.29566536662495735,0.5269748568534851,369,306,228,268,56
shift_down_left_1,5,left_cheek_zygomatic,1171,0.6182749786507259,0.6188993428912783,0.5802816901408451,0.6569205495818399,0.6060827339958311,0.2517257306805925,0.5734420418739319,415,260,187,309,117
shift_down_left_1,6,right_cheek_zygomatic,1171,0.6789069171648164,0.6530465949820788,0.5607476635514019,0.713452807646356,0.6411456079453666,0.21708811008286596,0.61199551820755,555,120,256,240,126
shift_down_left_1,7,perioral_mouth,1171,0.5858240819812126,0.5720385304659499,0.4963655244029076,0.595683990442055,0.5396708090497067,0.2617790160985468,0.5434583425521851,447,228,257,239,64
shift_down_left_1,8,chin_mandible,1171,0.5994876174210076,0.5838903823178017,0.5047518479408659,0.6163888888888889,0.556298060031081,0.25879444222910797,0.5618284940719604,463,212,257,239,60
shift_down_right_1,1,upper_brow_forehead,1171,0.605465414175918,0.6251642771804062,0.6181818181818182,0.669426523297491,0.605409626486791,0.2770128150044893,0.5646204352378845,335,340,122,374,192
shift_down_right_1,2,left_periocular,1171,0.5499573014517506,0.552155017921147,0.5160697887970614,0.566884707287933,0.45768613808994063,0.27267410134251424,0.528501570224762,363,312,215,281,98
shift_down_right_1,3,right_periocular,1171,0.5576430401366353,0.5914351851851851,0.608761329305136,0.6905346475507765,0.6444925668148219,0.2550048952085485,0.5443589091300964,250,425,93,403,91
shift_down_right_1,4,nasal_midface,1171,0.5448334756618275,0.5455719832735961,0.5060240963855422,0.5610513739545998,0.48337573024576574,0.2995138375337657,0.5156913995742798,365,310,223,273,56
shift_down_right_1,5,left_cheek_zygomatic,1171,0.5969257045260461,0.6049253285543608,0.5800711743772242,0.6603434886499402,0.6066587031229054,0.26815425785951075,0.5726035833358765,373,302,170,326,126
shift_down_right_1,6,right_cheek_zygomatic,1171,0.6635354397950469,0.6354360812425328,0.5320665083135392,0.6917114695340503,0.6018780736627314,0.2296485477103612,0.6063923835754395,553,122,272,224,117
shift_down_right_1,7,perioral_mouth,1171,0.5969257045260461,0.5838067502986858,0.5113871635610766,0.5954868578255675,0.5344113813568637,0.26612281649531117,0.5372279286384583,452,223,249,247,64
shift_down_right_1,8,chin_mandible,1171,0.5772843723313408,0.5520669056152927,0.43686006825938567,0.5835005973715651,0.49435386934506775,0.26979734407474437,0.5455296039581299,484,191,304,192,60
expand_1px,1,upper_brow_forehead,1171,0.5866780529461998,0.6102045997610515,0.6103059581320451,0.6867592592592593,0.6425643519579856,0.28114670001271586,0.5732057094573975,308,367,117,379,234
expand_1px,2,left_periocular,1171,0.5832621690862511,0.582113201911589,0.5387523629489603,0.621263440860215,0.5110009810713154,0.2551364631643751,0.5566977262496948,398,277,211,285,135
expand_1px,3,right_periocular,1171,0.5960717335610589,0.6287783751493429,0.6386554621848739,0.7264068100358424,0.6830681034553243,0.2543743175822717,0.5660955309867859,280,395,78,418,135
expand_1px,4,nasal_midface,1171,0.5431255337318531,0.5515755675029869,0.5294635004397539,0.5688500597371565,0.504878369872247,0.30204495553511473,0.5158270001411438,335,340,195,301,96
expand_1px,5,left_cheek_zygomatic,1171,0.5866780529461998,0.5872147550776583,0.5476635514018692,0.6331511350059738,0.600602002751659,0.28822175540245215,0.571478009223938,394,281,203,293,165
expand_1px,6,right_cheek_zygomatic,1171,0.677198975234842,0.6643966547192354,0.6037735849056604,0.7197461170848268,0.6407610395712469,0.22017792143162096,0.6239158511161804,505,170,208,288,165
expand_1px,7,perioral_mouth,1171,0.5986336464560205,0.6013276583034648,0.5664206642066419,0.6324551971326164,0.5448647379436584,0.2728861818910064,0.5377627015113831,394,281,189,307,108
expand_1px,8,chin_mandible,1171,0.623398804440649,0.605165770609319,0.5222101841820151,0.6485304659498208,0.5948431154962226,0.26467388206933773,0.5956625938415527,489,186,255,241,110
shrink_1px,1,upper_brow_forehead,1171,0.5815542271562767,0.5835722819593787,0.5471349353049908,0.6117234169653525,0.5608377330635643,0.27831777331607627,0.5471362471580505,385,290,200,296,132
shrink_1px,2,left_periocular,1171,0.5619128949615713,0.5569115890083631,0.5033881897386253,0.6075597371565113,0.5114351602876575,0.25243406500385673,0.5377947092056274,398,277,236,260,60
shrink_1px,3,right_periocular,1171,0.5525192143467123,0.5848521505376344,0.6012176560121765,0.6596804062126643,0.6024797841950751,0.2529643116653397,0.527125358581543,252,423,101,395,60
shrink_1px,4,nasal_midface,1171,0.5508112724167379,0.5475492831541219,0.4980916030534351,0.5735722819593787,0.500756318496281,0.27099607139468074,0.5237767100334167,384,291,235,261,24
shrink_1px,5,left_cheek_zygomatic,1171,0.6362083689154568,0.6355241935483871,0.5950570342205324,0.6595878136200717,0.5861270876615696,0.24229572525130066,0.565554141998291,432,243,183,313,84
shrink_1px,6,right_cheek_zygomatic,1171,0.6601195559350982,0.6311364994026285,0.5239234449760766,0.6896176821983273,0.605167369286667,0.22772627326298658,0.6025579571723938,554,121,277,219,84
shrink_1px,7,perioral_mouth,1171,0.5892399658411615,0.5766054360812425,0.5046343975283213,0.5650268817204301,0.5164784033752838,0.2622651874517634,0.5178301334381104,445,230,251,245,28
shrink_1px,8,chin_mandible,1171,0.5986336464560205,0.5753972520908005,0.47191011235955055,0.5975238948626045,0.5266728276083162,0.25063627138821254,0.5405780076980591,491,184,286,210,36
