test_id,test_index,nearest_mse_train_id,nearest_mse_train_index,nearest_mse,nearest_rmse,nearest_cosine_at_mse,nearest_cosine_train_id,nearest_cosine_train_index,max_cosine,mse_at_max_cosine,y_test,y_train_nearest_mse,label_conflict_nearest_mse,near_mse_flag,near_cosine_flag
test_0913,913,train_0914,914,0.015027940273284912,0.12258850038051605,0.9692809581756592,train_0914,914,0.9692809581756592,0.015027940273284912,1,1,False,False,False
test_0914,914,train_0765,765,0.014323443174362183,0.11968059092760086,0.9581795930862427,train_0765,765,0.9581795930862427,0.014323443174362183,1,1,False,False,False
test_0915,915,train_0917,917,0.0077989548444747925,0.08831169456243515,0.9578779339790344,train_0924,924,0.9722695350646973,0.010518655180931091,0,0,False,False,False
test_0916,916,train_0921,921,0.005713567137718201,0.07558814436197281,0.9742493629455566,train_0922,922,0.9756880402565002,0.006160810589790344,0,0,False,False,False
test_0917,917,train_0917,917,0.005797788500785828,0.07614321261644363,0.9686939716339111,train_0917,917,0.9686939716339111,0.005797788500785828,0,0,False,False,False
test_0918,918,train_0918,918,0.006421297788619995,0.08013299852609634,0.9714087843894958,train_0919,919,0.9764173626899719,0.007527768611907959,0,0,False,False,False
test_0919,919,train_0920,920,0.008919358253479004,0.09444235265254974,0.9752599000930786,train_0922,922,0.9789283871650696,0.010819822549819946,0,0,False,False,False
test_0920,920,train_0924,924,0.007665872573852539,0.08755496889352798,0.9818722009658813,train_0924,924,0.9818722009658813,0.007665872573852539,0,0,False,False,False
test_0921,921,train_0922,922,0.009923785924911499,0.09961820393800735,0.9809830784797668,train_0922,922,0.9809830784797668,0.009923785924911499,0,0,False,False,False
test_0922,922,train_0923,923,0.0017659664154052734,0.04202340170741081,0.9948373436927795,train_0923,923,0.9948373436927795,0.0017659664154052734,0,0,False,False,False
test_0923,923,train_0923,923,0.0062513649463653564,0.07906557619571686,0.9798988699913025,train_0923,923,0.9798988699913025,0.0062513649463653564,0,0,False,False,False
test_0924,924,train_0925,925,0.0031369924545288086,0.05600886046886444,0.9920373558998108,train_0925,925,0.9920373558998108,0.0031369924545288086,0,0,False,False,False
test_0925,925,train_0171,171,0.008089303970336914,0.08994055539369583,0.9804221391677856,train_0932,932,0.9822026491165161,0.00914090871810913,1,0,True,False,False
