flat_pixel_index,mean_pixel_evidence_drop,mean_pixel_evidence_drop_class0,mean_pixel_evidence_drop_class1
185,7.332885434152558e-05,-0.000526438991073519,0.0008895453065633774
186,-9.267438144888729e-05,-0.00048742699436843395,0.00044453932787291706
187,0.0002794729371089488,0.0004662509309127927,2.5289200493716635e-05
188,0.0006088289082981646,0.0005994538660161197,0.0006215872708708048
189,0.001329180900938809,0.0014653942780569196,0.0011438095243647695
190,0.0005246876971796155,0.0009651404689066112,-7.47188096283935e-05
191,-9.606494859326631e-05,-0.00019648860325105488,4.060031642438844e-05
192,9.818722901400179e-05,0.00018386266310699284,-1.8407396055408753e-05
193,1.8882418544308166e-06,0.0005737357423640788,-0.0007763318717479706
194,7.745676703052595e-05,-0.00011705769429681823,0.0003421690489631146
195,0.0001502900995546952,0.00053213577484712,-0.00036935872049070895
196,5.7271689001936466e-05,0.00016303107258863747,-8.66548580233939e-05
197,0.00015725917182862759,-0.00039684842340648174,0.0009113370324485004
198,0.00012023038289044052,0.0006033038371242583,-0.0005371780134737492
199,-5.310838787409011e-06,-0.00013020727783441544,0.0001646591117605567
200,6.0757876781281084e-05,0.0003820192359853536,-0.0003764425637200475
201,-0.00018766608263831586,0.0002920420083682984,-0.0008404944674111903
202,0.00014103029388934374,-0.0001558211079100147,0.0005450115422718227
203,0.00047559523954987526,-0.00010554340406088158,0.001266459352336824
204,0.00011528372851898894,3.449687210377306e-05,0.00022522550716530532
205,9.901797602651641e-05,0.00030421442352235317,-0.0001802312326617539
206,9.617170144338161e-05,-0.0002046978916041553,0.0005056211957708001
207,0.00017336544988211244,-0.0001979323715204373,0.0006786599988117814
208,-0.00015087817155290395,0.00034413469256833196,-0.0008245350327342749
209,-0.0003027431375812739,-5.2021521696588024e-05,-0.0006439469289034605
210,-0.0003348045574966818,0.0009023474995046854,-0.0020184279419481754
211,-0.00012483711179811507,-0.00012307184806559235,-0.00012723942927550524
212,-5.615191548713483e-05,6.590330940525746e-06,-0.00014153693336993456
213,5.8841884310822934e-05,-0.0001799499586923048,0.00038381057674996555
214,8.145536412484944e-05,-0.0001186349691124633,0.0003537556913215667
215,0.0003920483577530831,-0.0003605831880122423,0.0014162949519231915
216,4.574500417220406e-05,0.0004474119923543185,-0.0005008784355595708
217,0.00015231285942718387,0.0003104330971837044,-6.287093856371939e-05
218,1.5116382201085798e-05,0.00010716632823459804,-0.00011015317431883886
219,0.0008006345015019178,0.0007721757283434272,0.0008393636671826243
220,0.0004911564756184816,0.00041518863872624934,0.0005945402081124485
221,0.0009912517853081226,0.001287763356231153,0.0005877329385839403
222,0.00017224687326233834,0.0005037144292145967,-0.0002788430720102042
